iter	Logloss
0	0.6899601368
1	0.6867984422
2	0.683995655
3	0.6810510589
4	0.6783275383
5	0.6747679459
6	0.672270095
7	0.6695877641
8	0.6672309434
9	0.6645025024
10	0.6614242712
11	0.6586526032
12	0.6554921863
13	0.653335661
14	0.6509640554
15	0.6485440888
16	0.6458270447
17	0.6436631898
18	0.6411373722
19	0.6381763919
20	0.6358561451
21	0.6330804106
22	0.6304652014
23	0.6282682408
24	0.6258186153
25	0.6234233412
26	0.6207401922
27	0.6179836175
28	0.6152404299
29	0.6130488502
30	0.6106695126
31	0.6086685162
32	0.6069515116
33	0.6049365112
34	0.6037231824
35	0.6013782479
36	0.5993670702
37	0.5971517705
38	0.5943134156
39	0.5922851914
40	0.5907041607
41	0.588944139
42	0.5872738269
43	0.5844519491
44	0.5829632023
45	0.5805395464
46	0.5786087144
47	0.5763713471
48	0.5746011103
49	0.5725255288
50	0.5707234137
51	0.5684804288
52	0.5668539401
53	0.5647748818
54	0.5627920711
55	0.5611583936
56	0.5591440906
57	0.5576167497
58	0.5557930203
59	0.554343348
60	0.5523714137
61	0.5508367384
62	0.5492859129
63	0.5481135316
64	0.5464817578
65	0.5445180069
66	0.5429834182
67	0.5416228675
68	0.5401267231
69	0.5387553529
70	0.5372063735
71	0.5358777241
72	0.534570509
73	0.5331697776
74	0.5319278107
75	0.5302968231
76	0.528928161
77	0.5275533227
78	0.5263294706
79	0.5250011061
80	0.5235762947
81	0.5221512317
82	0.5205409112
83	0.5190126613
84	0.5175218958
85	0.5163833618
86	0.5152258891
87	0.5130135021
88	0.5118589501
89	0.5103581211
90	0.5089015667
91	0.507916284
92	0.50644268
93	0.5052336194
94	0.5040595926
95	0.5028973721
96	0.5015327249
97	0.500390494
98	0.4994299593
99	0.4979896748
100	0.4964688083
101	0.4952644496
102	0.4938152548
103	0.4923950659
104	0.491128177
105	0.489866864
106	0.488942777
107	0.4876796828
108	0.4863373237
109	0.4851007529
110	0.4839333033
111	0.4826946308
112	0.4812741103
113	0.4799764413
114	0.478739281
115	0.4774280162
116	0.4762437949
117	0.4749060319
118	0.4735812129
119	0.4723796154
120	0.4713238261
121	0.4702501086
122	0.4688083817
123	0.4673982315
124	0.4665586929
125	0.4653458302
126	0.4642856132
127	0.4631922884
128	0.4620316155
129	0.4607992187
130	0.4601137418
131	0.4589338573
132	0.4580953676
133	0.4571520925
134	0.4560381286
135	0.4549494173
136	0.4539576653
137	0.4528904413
138	0.4517057184
139	0.4504400365
140	0.4493662339
141	0.4486170446
142	0.4471994524
143	0.4461868043
144	0.44485238
145	0.4433327242
146	0.4422336961
147	0.4407821573
148	0.4396239946
149	0.4386402694
150	0.4378529674
151	0.4368155464
152	0.4359931334
153	0.4350690408
154	0.4342214846
155	0.4331374162
156	0.4321802052
157	0.4314429069
158	0.430355067
159	0.4295430269
160	0.4282126488
161	0.4270746233
162	0.4260383117
163	0.4251040621
164	0.4240013545
165	0.4226756441
166	0.4218507925
167	0.4211217165
168	0.4202690862
169	0.4191849106
170	0.418029346
171	0.4170200267
172	0.4161550925
173	0.4152751424
174	0.4144706389
175	0.41321341
176	0.4122368958
177	0.4112165495
178	0.4102336071
179	0.4091855509
180	0.40856839
181	0.4074559569
182	0.4065969441
183	0.4055609641
184	0.4047838506
185	0.4040942443
186	0.4032463131
187	0.4024343934
188	0.4016258885
189	0.4007693308
190	0.3996612146
191	0.398717496
192	0.3976807856
193	0.3970282394
194	0.3959733753
195	0.3951234282
196	0.3940190283
197	0.3931815997
198	0.3923044787
199	0.3913440064
200	0.3906553387
201	0.3901535233
202	0.3890747251
203	0.3882146825
204	0.3872255008
205	0.3865360402
206	0.3857548565
207	0.3850534109
208	0.3843182848
209	0.3833123635
210	0.3824906794
211	0.3818135371
212	0.3808947568
213	0.3799005816
214	0.3792859602
215	0.378393867
216	0.3776191358
217	0.3769464263
218	0.3760558589
219	0.3750558802
220	0.3743108063
221	0.373472378
222	0.3727524024
223	0.3717976563
224	0.3710574428
225	0.3704085849
226	0.3697710544
227	0.3686454767
228	0.3676346162
229	0.3663857093
230	0.3656406614
231	0.3649355305
232	0.3638729668
233	0.3629123073
234	0.3622686908
235	0.361307745
236	0.3605597713
237	0.3599147816
238	0.3592433761
239	0.3584264282
240	0.3576926204
241	0.3568802049
242	0.356111636
243	0.3552273161
244	0.3544095899
245	0.3538724666
246	0.353236285
247	0.3526167282
248	0.3518223613
249	0.3511475352
250	0.3504363366
251	0.3496849548
252	0.3491265184
253	0.3484181495
254	0.3476203438
255	0.3470981985
256	0.346465984
257	0.3456416635
258	0.3449349848
259	0.3444504395
260	0.3438454038
261	0.3430634688
262	0.3422732555
263	0.3414541127
264	0.3409807965
265	0.340030814
266	0.339028562
267	0.3382215317
268	0.3374528792
269	0.3368955618
270	0.3364139649
271	0.3356477242
272	0.3351287291
273	0.3344726509
274	0.3337409105
275	0.3332049211
276	0.3325922943
277	0.3321078186
278	0.331527087
279	0.3308574864
280	0.3298695241
281	0.3291217192
282	0.3283172356
283	0.3277846119
284	0.3271118128
285	0.3263718053
286	0.3259672911
287	0.3254080785
288	0.3248152401
289	0.324394692
290	0.3239548986
291	0.3231813131
292	0.322712894
293	0.3220847067
294	0.3213940518
295	0.3208886069
296	0.3203497607
297	0.3197352769
298	0.3190211315
299	0.3183150777
300	0.3177319988
301	0.3171321568
302	0.3163931093
303	0.3157676448
304	0.315118685
305	0.3144344245
306	0.313903414
307	0.3131941511
308	0.3127010373
309	0.3121501101
310	0.311468086
311	0.3110432346
312	0.3104324123
313	0.3098714213
314	0.3093772182
315	0.3086880639
316	0.3081287957
317	0.3075614545
318	0.3068039531
319	0.3062246148
320	0.3056615212
321	0.3050672465
322	0.3046179176
323	0.3040818809
324	0.303627604
325	0.303100361
326	0.3025129621
327	0.3021515119
328	0.3015533208
329	0.3008018342
330	0.3003404904
331	0.2998956982
332	0.2992819894
333	0.298392512
334	0.2978516752
335	0.2971909889
336	0.2968140071
337	0.2963027517
338	0.2959625612
339	0.2955141719
340	0.2951161217
341	0.2946844756
342	0.2939950888
343	0.2936575383
344	0.2931061192
345	0.292770694
346	0.2922060316
347	0.2917477485
348	0.2908907357
349	0.2902879846
350	0.2896724256
351	0.2892518343
352	0.2887577782
353	0.287866446
