iter	Passed	Remaining
0	8	4131
1	13	3462
2	20	3370
3	25	3160
4	30	3019
5	36	3022
6	42	3027
7	48	3006
8	54	2982
9	60	2986
10	66	2968
11	71	2919
12	76	2872
13	83	2895
14	89	2906
15	95	2886
16	101	2882
17	107	2880
18	112	2853
19	118	2841
20	124	2832
21	129	2818
22	134	2794
23	140	2780
24	146	2791
25	152	2772
26	157	2759
27	162	2744
28	168	2733
29	174	2730
30	179	2716
31	185	2706
32	190	2690
33	195	2674
34	200	2669
35	207	2675
36	213	2668
37	218	2654
38	224	2648
39	229	2639
40	234	2628
41	241	2629
42	246	2615
43	251	2602
44	257	2601
45	261	2584
46	267	2579
47	274	2584
48	279	2570
49	284	2558
50	289	2553
51	294	2541
52	299	2529
53	305	2522
54	311	2518
55	316	2509
56	323	2512
57	327	2499
58	332	2485
59	338	2479
60	343	2473
61	349	2469
62	354	2459
63	360	2459
64	365	2448
65	370	2437
66	376	2431
67	381	2422
68	385	2410
69	391	2405
70	398	2405
71	404	2406
72	411	2404
73	416	2397
74	422	2393
75	427	2385
76	432	2377
77	438	2374
78	443	2364
79	450	2363
80	455	2358
81	460	2347
82	466	2342
83	472	2341
84	477	2330
85	483	2325
86	488	2317
87	493	2311
88	500	2310
89	505	2303
90	510	2294
91	515	2286
92	520	2276
93	525	2269
94	531	2267
95	538	2267
96	543	2257
97	548	2251
98	554	2244
99	560	2242
100	565	2234
101	571	2229
102	576	2222
103	582	2217
104	588	2212
105	594	2208
106	599	2200
107	604	2195
108	610	2190
109	616	2186
110	622	2181
111	628	2178
112	633	2168
113	637	2159
114	644	2158
115	649	2149
116	654	2144
117	660	2138
118	666	2132
119	672	2129
120	679	2128
121	685	2123
122	689	2114
123	695	2108
124	700	2102
125	706	2096
126	712	2092
127	718	2087
128	723	2080
129	728	2073
130	733	2066
131	739	2062
132	746	2058
133	751	2051
134	755	2043
135	761	2038
136	766	2030
137	772	2025
138	779	2023
139	784	2017
140	789	2010
141	795	2005
142	802	2002
143	806	1994
144	813	1991
145	819	1987
146	824	1980
147	830	1974
148	836	1970
149	841	1964
150	848	1959
151	852	1952
152	858	1947
153	863	1940
154	869	1935
155	874	1927
156	879	1921
157	885	1917
158	890	1910
159	895	1902
160	901	1898
161	906	1891
162	911	1885
163	916	1878
164	921	1870
165	927	1865
166	933	1861
167	939	1856
168	943	1848
169	948	1841
170	954	1835
171	959	1829
172	964	1823
173	969	1816
174	975	1810
175	979	1803
176	985	1798
177	990	1792
178	996	1787
179	1002	1782
180	1009	1778
181	1015	1774
182	1021	1769
183	1027	1764
184	1033	1759
185	1039	1754
186	1044	1748
187	1049	1741
188	1055	1737
189	1061	1731
190	1065	1724
191	1072	1720
192	1077	1714
193	1083	1709
194	1090	1705
195	1095	1699
196	1100	1693
