Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20080809_NIH_EWY_POS_000801	Extraction		none	20080809_NIH_EWY_POS_000801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_000801	FILES/20080809_NIH_EWY_POS_000801.CDF	Data transformation	20080809_NIH_EWY_POS_000801	FILES/20080809_NIH_EWY_POS_0008.mzML	Metabolite identification	20080809_NIH_EWY_POS_000801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_000901	Extraction		none	20080809_NIH_EWY_POS_000901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_000901	FILES/20080809_NIH_EWY_POS_000901.CDF	Data transformation	20080809_NIH_EWY_POS_000901	FILES/20080809_NIH_EWY_POS_0009.mzML	Metabolite identification	20080809_NIH_EWY_POS_000901	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_001001	Extraction		none	20080809_NIH_EWY_POS_001001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_001001	FILES/20080809_NIH_EWY_POS_001001.CDF	Data transformation	20080809_NIH_EWY_POS_001001	FILES/20080809_NIH_EWY_POS_0010.mzML	Metabolite identification	20080809_NIH_EWY_POS_001001	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_001101	Extraction		none	20080809_NIH_EWY_POS_001101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_001101	FILES/20080809_NIH_EWY_POS_001101.CDF	Data transformation	20080809_NIH_EWY_POS_001101	FILES/20080809_NIH_EWY_POS_0011.mzML	Metabolite identification	20080809_NIH_EWY_POS_001101	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_001201	Extraction		none	20080809_NIH_EWY_POS_001201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_001201	FILES/20080809_NIH_EWY_POS_001201.CDF	Data transformation	20080809_NIH_EWY_POS_001201	FILES/20080809_NIH_EWY_POS_0012.mzML	Metabolite identification	20080809_NIH_EWY_POS_001201	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_001301	Extraction		none	20080809_NIH_EWY_POS_001301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_001301	FILES/20080809_NIH_EWY_POS_001301.CDF	Data transformation	20080809_NIH_EWY_POS_001301	FILES/20080809_NIH_EWY_POS_0013.mzML	Metabolite identification	20080809_NIH_EWY_POS_001301	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_001401	Extraction		none	20080809_NIH_EWY_POS_001401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_001401	FILES/20080809_NIH_EWY_POS_001401.CDF	Data transformation	20080809_NIH_EWY_POS_001401	FILES/20080809_NIH_EWY_POS_0014.mzML	Metabolite identification	20080809_NIH_EWY_POS_001401	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_001701	Extraction		none	20080809_NIH_EWY_POS_001701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_001701	FILES/20080809_NIH_EWY_POS_001701.CDF	Data transformation	20080809_NIH_EWY_POS_001701	FILES/20080809_NIH_EWY_POS_0017.mzML	Metabolite identification	20080809_NIH_EWY_POS_001701	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_001801	Extraction		none	20080809_NIH_EWY_POS_001801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_001801	FILES/20080809_NIH_EWY_POS_001801.CDF	Data transformation	20080809_NIH_EWY_POS_001801	FILES/20080809_NIH_EWY_POS_0018.mzML	Metabolite identification	20080809_NIH_EWY_POS_001801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_001901	Extraction		none	20080809_NIH_EWY_POS_001901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_001901	FILES/20080809_NIH_EWY_POS_001901.CDF	Data transformation	20080809_NIH_EWY_POS_001901	FILES/20080809_NIH_EWY_POS_0019.mzML	Metabolite identification	20080809_NIH_EWY_POS_001901	m_MTBLS28_POS_v2_maf.tsv
